zcta area pop
909 0.21 36.0
910 72.35 3663.0
911 67.02 36915.0
912 106.9 1509.0
913 29.76 4084.0
914 0.31 31.0
915 21.12 736.0
916 21.42 142.0
917 85.58 719.0
918 79.85 5025.0
919 0.5 486.0
920 71.82 4602.0
921 14.48 269.0
922 83.68 4972.0
923 75.95 33439.0
924 0.58 1217.0
925 64.94 2148.0
926 0.09 36.0
927 90.37 1998.0
928 27.12 1157.0
929 31.9 1044.0
930 41.46 2135.0
931 43.08 1403.0
932 39.29 2381.0
933 38.41 3037.0
934 92.79 2842.0
935 33.22 2410.0
936 43.97 65.0
937 52.39 632.0
938 2.72 158.0
939 48.48 2208.0
940 110.6 224.0
941 75.5 2028.0
942 1.19 3938.0
943 36.17 634.0
944 63.73 1236.0
945 0.03 17.0
946 58.85 1074.0
947 98.61 1748.0
948 30.81 599.0
949 32.73 1572.0
950 4.14 205.0
951 40.48 1428.0
952 52.94 646.0
953 103.01 459.0
954 90.12 4080.0
955 33.21 638.0
956 129.45 5492.0
957 47.14 929.0
958 28.84 546.0
959 210.42 15836.0
960 30.69 381.0
961 9.01 1259.0
962 31.95 1726.0
963 37.15 1929.0
964 38.63 1369.0
965 30.4 1148.0
966 4.0 180.0
967 43.01 5499.0
968 34.5 161.0
969 9.54 516.0
970 86.16 2915.0
971 37.61 1223.0
972 98.65 423.0
973 50.28 963.0
974 82.73 6364.0
975 35.69 187.0
976 8.04 1599.0
977 2.85 265.0
978 38.37 260.0
979 8.94 1753.0
980 2.61 403.0
981 3.4 2304.0
982 255.79 1304.0
983 106.0 2253.0
984 210.52 7494.0
985 55.33 1072.0
986 226.24 6120.0
987 6.2 201.0
988 147.75 1010.0
989 63.57 4778.0
990 72.06 1623.0
991 50.89 2086.0
992 65.24 1239.0
993 12.04 526.0
994 0.47 150.0
995 120.2 39506.0
996 0.04 1733.0
997 28.15 1914.0
998 68.06 31637.0
999 18.69 1350.0
1000 17.72 7109.0
1001 13.32 3892.0
1002 24.3 15551.0
1003 81.52 12790.0
1004 61.65 3556.0
1005 24.3 1989.0
1006 74.79 8617.0
1007 48.79 8680.0
1008 40.92 8897.0
1009 22.6 17537.0
1010 96.11 2758.0
1011 18.26 10705.0
1012 33.51 2356.0
1013 27.78 2512.0
1014 106.58 30112.0
1015 0.24 153.0
1016 48.46 1679.0
1017 33.18 5015.0
1018 22.1 1582.0
1019 27.85 14992.0
