O D W
26 48 8
26 49 94
26 50 1
26 51 14
26 52 1634
26 53 6
26 54 120
26 55 107
26 56 35
26 57 59
26 58 9
26 59 151
26 60 248
26 61 143
27 0 4
27 1 29
27 2 25
27 3 1960
27 4 248
27 5 12
27 6 73
27 7 4446
27 8 116
27 9 17
27 10 18
27 11 10470
27 12 2
27 13 3
27 14 1162
27 15 6
27 16 1193
27 17 198
27 18 11
27 19 25
27 20 15
27 21 88
27 22 40
27 23 43
27 24 768
27 25 44
27 26 30
27 27 44626
27 28 266
27 29 13
27 30 7
27 31 44
27 32 14
27 33 202
27 35 20
27 36 32
27 37 1268
27 38 1
27 39 7
27 40 24
27 41 278
27 42 57
27 43 1898
27 44 8372
27 45 44
27 46 177
27 47 450
27 48 39
27 49 5725
27 50 5
27 51 45
27 52 76
27 53 3800
27 54 1579
27 55 270
27 56 310
27 57 1141
27 58 22
27 59 418
27 60 215
27 61 38
28 0 21
28 1 167
28 2 322
28 3 988
28 4 11
28 5 44
28 6 279
28 7 81
28 8 120
28 9 22
28 10 223
28 11 522
28 12 1005
28 13 47
28 14 1144
28 15 284
28 16 136
28 17 505
28 18 1373
28 19 148
28 20 2160
28 21 410
28 22 54
28 23 80
28 24 97
28 25 98
28 26 21
28 27 110
28 28 277656
28 29 11
28 30 37
28 31 86
28 32 1396
28 33 25
28 35 40
28 36 201
28 37 202
28 38 13
28 39 309
28 40 122
28 41 9085
28 42 20
28 43 1299
28 44 2840
28 45 13338
28 46 592
28 47 2813
28 48 817
28 49 309
28 50 333
28 51 209
28 52 85
28 53 19
28 54 432
28 55 58
28 56 41
28 57 138
28 58 63
28 59 176
28 60 183
28 61 22
29 0 2
29 1 3
29 2 9
29 3 26
29 4 3
29 5 4
29 6 16
29 7 31
29 8 669
29 9 111
29 10 11
29 11 21
29 12 7
29 13 3
29 14 140
29 15 5
29 16 6
29 17 32
29 18 1
29 19 24
29 20 3
29 21 16
29 22 23
29 23 1032
29 24 3
29 25 10
29 26 2
29 27 17
29 28 50
29 29 5511
29 30 837
29 31 45
29 32 3
29 33 3
29 34 18
29 35 17
29 36 58
29 37 2
29 38 16
29 39 5
29 40 10
29 41 128
29 42 28
29 43 18
29 44 75
29 45 12
29 46 82
29 47 102
29 48 28
29 49 22
29 51 12
29 52 15
29 54 7
29 55 32
29 56 4
29 57 4
29 58 208
29 59 169
29 60 51
29 61 9
30 0 4
30 1 12
30 2 22
30 3 42
30 4 7
30 5 3
30 6 21
30 7 33
30 8 137
30 9 31
30 10 16
30 11 25
30 12 2
30 13 2
30 14 227
30 15 6
30 16 1
30 17 32
30 18 3
30 19 22
30 20 4
30 21 19
30 22 24
30 23 873
30 24 9
30 25 13
30 26 7
30 27 24
30 28 96
30 29 959
30 30 5557
30 31 48
30 32 6
30 33 5
30 34 27
30 35 18
30 36 88
30 37 7
30 38 15
30 39 4
30 40 18
30 41 155
30 42 29
30 43 20
30 44 100
30 45 21
30 46 109
30 47 120
30 48 39
30 49 24
30 50 2
30 51 21
30 52 21
30 53 3
30 54 11
30 55 34
30 56 5
30 57 6
30 58 965
30 59 161
30 60 60
30 61 14
31 0 3
31 1 20
31 2 13
31 3 126
31 4 24
31 5 14
31 6 35
31 7 65
31 8 145
31 9 48
31 10 13
31 11 82
31 12 2
31 13 4
31 14 1538
31 15 1
31 16 20
31 17 82
31 18 8
31 19 19
31 20 10
31 21 21
31 22 73
31 23 28
31 24 60
31 25 22
31 26 24
31 27 82
31 28 115
31 29 19
31 30 8
31 31 6882
31 32 11
31 33 34
31 34 54
31 35 331
31 36 60
31 37 39
31 38 6
31 39 7
31 40 42
31 41 179
31 42 3044
31 43 99
31 44 307
31 45 10
31 46 330
31 47 325
31 48 35
31 49 93
31 50 4
31 51 26
31 52 135
31 53 8
31 54 76
31 55 251
31 56 11
31 57 28
31 58 35
31 59 1355
31 60 1273
31 61 166
32 0 15
32 1 28
32 2 77
32 3 61
32 4 4
32 5 3
32 6 47
32 7 13
32 8 9
32 9 3
32 10 87
32 11 75
32 12 504
32 13 13
32 14 91
32 15 47
32 16 2
32 17 70
32 18 64
32 19 28
32 20 42
32 21 55
32 22 9
32 23 9
32 25 22
32 26 7
32 27 11
32 28 4050
32 29 2
32 30 3
32 31 6
32 32 7313
32 33 3
32 35 2
32 36 23
32 37 12
32 38 6
32 39 540
32 40 23
32 41 4813
32 42 1
32 43 55
32 44 224
32 45 515
32 46 59
32 47 289
32 48 223
32 49 30
32 50 505
32 51 41
32 52 15
32 53 1
32 54 34
32 55 7
32 56 6
32 57 21
32 58 11
32 59 31
32 60 17
32 61 2
33 1 8
33 2 24
33 3 168
33 4 26
33 5 3
33 6 23
33 7 1133
33 8 60
33 9 20
33 10 8
33 11 241
33 12 6
33 13 2
33 14 2515
33 15 8
33 16 65
33 17 50
33 18 5
33 19 12
33 20 11
33 21 24
33 22 9
33 23 8
33 24 1346
33 25 2
33 26 82
33 27 563
33 28 44
33 29 6
33 30 8
33 31 32
33 32 4
33 33 4149
33 35 14
33 36 16
33 37 152
33 38 6
33 39 9
33 40 15
33 41 80
33 42 48
33 43 178
33 44 602
33 45 5
33 46 76
33 47 112
33 48 15
33 49 202
33 50 3
33 51 14
33 52 33
33 53 15
33 54 143
33 55 420
33 56 29
33 57 61
33 58 9
33 59 265
33 60 305
33 61 48
34 0 1
34 2 2
34 3 6
34 6 1
34 7 6
34 8 81
34 9 8
34 10 1
34 11 2
34 14 23
34 16 1
34 17 6
34 18 1
34 19 1
34 20 1
34 21 1
34 22 4
34 23 21
34 24 1
34 25 2
34 26 1
34 27 2
34 28 13
34 29 27
34 30 25
34 31 10
34 34 415
34 35 23
34 36 16
34 37 1
34 38 4
34 40 1
34 41 16
34 42 3
34 43 2
34 44 14
34 45 2
34 46 8
34 47 18
34 48 4
34 49 4
34 51 1
34 52 1
34 55 1
34 58 34
34 59 18
34 60 6
34 61 2
35 0 3
35 1 20
35 2 18
35 3 155
35 4 20
35 5 12
35 6 37
35 7 51
35 8 58
35 9 9
35 10 17
35 11 98
35 12 4
35 13 5
35 14 403
35 15 6
35 16 28
35 17 125
35 18 4
35 19 55
35 20 13
35 21 20
35 22 211
35 23 51
35 24 39
35 25 69
35 26 58
35 27 77
35 28 130
35 29 23
35 30 20
35 31 426
35 32 10
35 33 15
35 34 29
35 35 5928
35 36 162
35 37 39
35 38 54
35 39 7
35 40 270
35 41 209
35 42 460
35 43 81
35 44 298
35 45 16
35 46 7124
35 47 1342
35 48 42
35 49 106
35 50 2
35 51 148
35 52 801
35 53 7
35 54 76
35 55 92
35 56 10
35 57 36
35 58 44
35 59 173
35 60 106
35 61 152
36 0 4
36 1 23
36 2 49
36 3 91
36 4 11
36 5 5
36 6 46
36 7 73
36 8 53
36 9 23
36 10 33
36 11 44
36 12 11
36 13 8
36 14 333
36 15 8
36 16 11
36 17 86
36 18 9
36 19 70
36 20 20
36 21 50
36 22 61
36 23 142
36 24 12
36 25 28
36 26 24
36 27 71
36 28 253
36 29 43
36 30 71
36 31 84
36 32 14
36 33 15
36 34 9
36 35 105
36 36 17943
36 37 22
36 38 429
36 39 37
36 40 130
36 41 347
36 42 47
36 43 48
36 44 229
36 45 39
36 46 1073
36 47 1411
36 48 60
36 49 75
36 50 4
36 51 626
36 52 53
36 53 4
36 54 21
36 55 69
36 56 7
36 57 12
36 58 873
36 59 151
36 60 94
36 61 33
37 0 8
37 1 21
37 2 27
37 3 12387
37 4 274
37 5 15
37 6 220
37 7 465
37 8 331
37 9 19
37 10 9
37 11 10493
37 12 4
37 13 7
37 14 1692
37 15 6
37 16 14931
37 17 335
37 18 64
37 19 27
37 20 67
37 21 74
37 22 41
37 23 55
37 24 112
37 25 41
37 26 54
37 27 1147
37 28 986
37 29 11
37 30 10
37 31 47
37 32 13
37 33 63
37 34 1
37 35 37
37 36 39
37 37 303614
37 39 13
37 40 57
37 41 934
37 42 56
37 43 25072
37 44 387893
37 45 130
37 46 299
37 47 799
37 48 105
37 49 2284
37 50 6
37 51 29
37 52 85
37 53 246
37 54 82773
37 55 198
37 56 9313
37 57 3101
37 58 39
37 59 365
37 60 182
37 61 45
38 0 3
38 1 3
38 2 15
38 3 21
38 4 4
38 6 16
38 7 21
38 8 19
38 9 1
38 10 8
38 11 13
38 12 3
38 13 1
38 14 86
38 15 1
38 16 3
38 17 12
38 18 3
38 19 20
38 20 5
38 21 7
